1,42가지 마음의 색깔,"크리스티나 누녜스,폐레이라",05,01,02," / "
2,7년 동안의 잠,박완서,01,01,02," / "
3,가끔씩 비 오는 날,이가을,01,01,04,국어 4-1가 / 작은 것도 소홀히 지나치지 않고 삶의 진실을 담아낸 아름다운 이야기이다.
4,가방 들어주는 아이,고정욱,01,04,03,학년필독서 / 다리에 장애가 있는 영택이와 영택이의 가방을 들어주는 도우미가 된 석우의 갈등과 우정이야기다.
5,가을 운동회,임광희,01,01,01," / "
6,가을이네 장 담그기,이규희,01,01,04,"국어활동4-1~r~n전문 수록~r~n10단원 /  가을이네가 직접 심은 콩으로 장을 담그며 우리 음식과 가족의 수고에 대해 깨닫는 이야기이다. "
7,간송 선생님이 다시 찾은 우리 문화유산 이야기,한상남,09,01,05,국어5-2 나 ~r~n일부 수록 ~r~n7단원 /  일본으로부터 우리 문화유산과 국보를 지켜낸 간송전형필의 짧은 삶과 의지를 돌아볼 수 있게 한다.
8,갈매기에게 나는 법을 가르쳐준 고양이,루이스 세뿔베다,01,04,06,학년필독서 / 타르찌꺼기 때문에 죽음을 맞게 된 갈매기가 우연히 만난 고양이에게 자신의 자녀를 부탁하며 약속의 맹세를 하고 고양이는 명예를 지키기 위해 갈매기와의 약속을 지키려고 최선을 다한다.
9,감기 걸린 날,김동수,01,01,03," / "
10,강아지 복실이,한미호,01,01,01," / "
11,강아지똥,권정생,01,03,01," / "
12,개구리네 한솥밥,백석,01,02,02," / "
13,개구리와 두꺼비는 친구,아놀드 로벨,05,01,02," / "
14,개구쟁이 수달은 무얼 하며 놀까요?,왕입분,06,01,03,국어3-1 나~r~n일부 수록~r~n9단원 / 동식물에 대한 질문에 답을 하며 여러 상식을 알 수 있는 책이다.
15,개미와 베짱이,이솝,02,01,02," / "
16,개미와 비둘기/농부와 독수리,이솝,02,01,01," / "
17,거미,엘리즈 그라벨,08,02,02," / "
18,거상 김만덕,민병덕,09,01,05,국어5-1가 / 1739년 제주도에서 양인으로 태어났으나 살기 위해 기생이 되었다가 상인이 된다. 큰 상인으로 많은 돈을 벌었지만 제주도 사람들이 굶어죽을 큰 흉년이 들자 전재산을 쌀로 바꾸어 제주도민을 살렸다.
19,거인 부벨라와 지렁이 친구,조 프리드먼,01,01,03,국어3-2 가~r~n일부 수록~r~n1단원 / 외롭고 부끄럼을 많이 타던 거인 부벨라가 용감한 지렁이 친구를 만나서 재미있는 모험을 떠나는 이야기다.
20,거인의 정원,오스카 와일드,05,01,02," / "
21,견우 직녀,최은정,03,02,01," / "
22,경주 최부잣집은 어떻게 베풀었을까?,황혜진,09,01,04,국어4-1 가~r~n일부 수록~r~n1단원 / 300여 년(임진왜란~일제강점기) 동안 대를 이어 부를 이어 온 경주 최 부잣집의 가족사를 흥미롭게 풀어낸 책이다 .
23,고래를 그리는 아이,윤수천,01,01,04,"국어활동4-1 ~r~n전문 수록~r~n1단원~r~n /  겉보기에 작고 약한 사람어도 그 안에 들어있는 용기와 배려, 의지와 희망으로 세상을 따뜻하게 할 수 있음을 각 이야기의 주인동을 통해 알려준다."
24,고양이 목에 방울 달기,정하섭,02,01,02," / "
25,고정욱 선생님이 들려주는 장영실,고정욱,09,01,04,국어활동4-1~r~n일부 수록~r~n5단원~r~n /  조선의 과학자 장영실이 어떤 마음으로 뛰어난 발명품을 만들었는지를 알 수 있는 인물 이야기이다.
26,곤충들의 운동회,도쿠다 유키히사,06,02,01," / "
27,곰의 아이들,류화선,01,04,05,학년필독서 / 인류 문명이 본격적으로 출발하는 청동기 시대를 생생하게 재현하면서 인간과 자연의 갈등과 화해를 그려낸 장편동화이다.
28,곱구나! 우리 장신구,박세경,01,01,03,"국어 3-1 가~r~n그림, 일부 '01~r~n독서단원 / 우리나라의 장신구들을 그림과 사진, 글로 잘 알려주는 책이다."
29,교과서 속 세계명작- 피노키오,카를로 콜로디,02,01,04,국어활동4-1~r~n그림 수록~r~n4단원~r~n /  제페토 할아버지가 만든 나무 인형 ‘피노키오’가 다양한 경험과 모험을 통해 진짜 아이가 되는 작품이다.
30,구름놀이,한태희,01,01,01," / "
31,구름빵,백희나,01,02,01," / "
32,구멍난 벼루,배유안,09,01,06,국어6-2 가~r~n일부 수록~r~n1단원 / 소치 허련이 추사 김정희의 제자가 되기 위해 추사 김정희 옆에서 그림을 배우는 일화를 담고 있다.
33,구운몽,정영애,01,04,05,"학년필독서 / 인간의 부귀와 공명은 덧없는 것임을 깨닫고 꿈에서 깨어나, 팔선녀와 함께 불도에 정진하여 극락세계로 가는 등의 이야기이다."
34,국경을 넘어야 하나요?,타마르 베레트-제하비,01,01,03,"국어 3-2 나 ~r~n제목 '01 ~r~n7단원 / 전쟁으로 인해 조국을 떠날 수밖에 없었던 쌍둥이 차가이와 물루의 이야기다. "
35,귀신보다 더 무서워,허은순,01,01,03,국어활동 3-1~r~n전문 수록~r~n1단원 / 형제인 병만이와 동만이가 마당에서 키우는 삽살개 만만이를 귀신으로 오해하며 생긴 소동을 그리고 있다.
36,그래도 텔레비전 보러갈거야,양혜원,01,02,02," / "
37,그림으로 보는 세종대왕,김미애,11,01,05,국어5-1 나 ~r~n일부 수록 ~r~n9단원 /  조선 4대 임금으로 백성 사랑과 나라 발전 위해 다양한 문화를 꽃피운 세종대왕의 삶을 쉽고 재미있게 소개한다.
