content_id,qlevel,qnum,q,qex,e1,e2,e3,e4,ans,qtype,qexgb,state
1,01,01,주인공이 6살 때 처음 그린 그림은 무엇인가요?,,총,여우를 삼킨 보아 뱀 그림,코끼리를 삼킨 보아 뱀 그림,돼지를 삼킨 보아 뱀 그림,3,01,N,S
1,01,02,어린 왕자는 왜 자신의 별을 떠났나요?,,다른 별을 구경하고 싶어서,장미꽃이 화를 내고 까다롭게 굴어서,양복을 입지 않아서,혼자 있고 싶어서,3,01,N,S
1,01,03,어린 왕자가 겪은 일을 순서대로 나열한 것을 찾으세요.,꽃은 천진난만하게 웃었다.,순진무구,소소,허탈,허무,1,03,Y,S
1,01,04,왕이 스스로를 지칭하는 표현하는 단어는 무엇인가요?,,소인,친구를 만나고 싶을 때,짐,자신의 별로 돌아가고 싶을 때,4,07,N,S
1,01,05,다음 중 어린 왕자의 장미와 가장 비슷한 사람은 누구일까요?,그 사람은 허영(虛榮)이 가득찼다.,허망한 희망을 품은 사람,영험한 능력을 가진 사람,자기 분수에 넘치고 겉모습 뿐인 사람,텔레비전 속 연예인,3,04,Y,S
1,01,06,다음 예시의 사건들을 순서대로 나열한 것은 무엇인가요?,A: 어린왕자를 만남 / B: 보아구렁이를 처음 그림 / C: 술꾼이 사는 행성에 방문,A-C-B,A-B-C,B-C-A,B-A-C,4,04,Y,S
1,01,07,어린왕자가 만나지 않은 사람은 누구인가요?,왕자는 정성껏 꽃을 보살폈지만 꽃은 까다롭게 굴었어요.,왕,기쁘고 행복한 마음,사업가,지리학자,2,05,Y,S
1,01,08,장미꽃밭을 보고 자신의 장미를 떠올린 어린 왕자의 마음은 어땠을까요?,,뱀에게 물려서 죽음을 맞이함.,비행기를 타고 돌아감.,화가 난 마음,어른들과 화해하고 행복하게 살아감.,2,05,N,S
1,01,09,사업가가 헤아렸던 별이 의미하는 것은 무엇인가요?,어린 왕자는 풀밭에 엎드려 (       ) 울었어요.,재잘재잘,희망,욕심,소망,3,04,Y,S
1,01,10,어린왕자가 왕의 행동을 이해하지 못한 이유는 무엇인가요?,,허상을 지배하고 있어서,폴짝폴짝,행성이 작아서,사뿐사뿐,4,03,N,S
1,01,11,학문에 능통한 사람을 무엇이라고 하나요?,,학자,술꾼,왕,장사꾼,2,06,N,S
1,01,12,듣고 싶은 말만 들으려하는 허영심에 빠진 사람과 어울리는 사자성어는 무엇인가요?,,쉽게 바꿀 수 있는,잠깐 필요한,오비이락(烏飛梨落),청출어람(靑出於藍),4,07,N,S
1,01,13,"""말이나 행동이 예의바르고 겸손함""을 뜻하는 단어는 무엇인가요?",,심성(心性),자손(子孫),공손(恭遜),자양(滋養),3,06,N,S
1,01,14,다음 예시의 빈칸에 어울리는 단어는 무엇인가요?,신하는 왕의 명령에 (  )해야 한다.,만족(滿足),결과(結果),복종(服從),승리(勝利),3,06,Y,S
1,01,15,"다음 예시의 ""광경(光景)""과 바꿀 수 있는 것은 무엇인가요?",,풍파(風波),풍경(風景),역경(逆境),곤경(困境),2,06,N,S
2,01,01,제제가 처음 라임오렌지나무를 만났을 때 어떤 심정이었나요?,,자신의 나무가 제일 특별하다고 생각했다.,자신이 세상에서 가장 재수없는 아이라고 생각했다.,자신과 나무가 꼭 닮았다고 생각했다.,자신이 부족한 것이 없는 가장 행복한 아이라고 생각했다.,2,01,N,S
2,01,02,제제가 구두닦이로 번 돈으로 아버지를 위해 산 선물은 무엇인가요?,,담배,구두,모자,음식,1,01,N,S
2,01,03,또또가 형이 크리스마스 때 빵을 먹지 못한 이유는 무엇인가요?,,가족들 몰래 음식을 너무 많이 먹었기 때문에,배가 아픈 것을 제제에게 숨기려고,가난 때문에 힘들어하는 아버지가 마음에 걸려서,예전에 빵을 먹고 체한 기억이 있기 때문에,3,04,N,S
2,01,04,제제가 구멍 난 검정 스타킹을 주운 이유는 무엇인가요?,,뱀의 모양과 닮아 장난 칠 수 있겠다는 생각이 들었기 때문에,밍기뉴의 나뭇가지에 묶어주려고,조금만 수선하면 쓸만 할 것 같아 누나에게 선물하려고,버려진 스타킹은 쓸모 없다고 생각했기 때문에,1,04,N,S
2,01,05,제제는 자신의 마음 속에 무엇이 살고 있다고 믿고 있나요?,,작은 나무,작은 왕자,작은 새,작은 곤충,3,02,N,S
2,01,06,쎄실리아 빠임 선생님이 착한 일을 한 제제에게 했던 말은 무엇인가요?,,황금 같은 마음씨를 가진 아이,별빛 같은 마음씨를 가진 아이,달빛 같은 마음씨를 가진 아이,햇볕같은 마음씨를 가진 아이,1,02,N,S
2,01,07,브라질의 크리스마스가 여름인 이유는 무엇인가요?,,우리나라와 크리스마스 날짜가 다르기 때문에,브라질은 남반구에 있어 우리나라와 계절이 반대이기 때문에,브라질은 겨울이 없기 때문에,크리스마스를 더 즐겁게 즐기기 위해서,2,07,N,S
2,01,08,뽀르뚜가의 뜻은 무엇인가요?,,브라질 사람과 포르투갈 사람 사이에서 태어난 아이를 가리키는 말,포르투갈 사람을 낮춰 부르는 말,포르투갈의 영어 발음,브라질에서 쓰는 나무의 이름,2,07,N,S
2,01,09,제제가 뽀르뚜가 아저씨에게 자신을 아들로 데려가 달라고 한 이유는 무엇인가요?,,뽀르뚜가 아저씨가 자신의 아버지보다 더 똑똑해서,뽀르뚜가 아저씨의 차가 마음에 들어서,뽀르뚜가 아저씨는 자신의 심정을 누구보다 잘 이해해주고 공감해줘서,뽀르두가 아저씨가 아니면 더이상 살아갈 이유가 없다고 생각해서,3,03,N,S
2,01,10,라임오렌지나무가 꽃을 피웠다는 것이 의미하는 것은 무엇인가요?,,제제가 더 이상 아프지 않을 것이란 것.,제제가 더 이상 밍기뉴를 반기지 않는다는 것,제제가 뽀르뚜가 아저씨를 완전히 잊었다는 것,제제가 한층 더 성숙해졌다는 것.,4,03,N,S
2,01,11,"백 번 쏘아 백 번 맞힌다는 뜻으로, 총이나 활 따위를 쏠 때마다 겨눈 곳에 다 맞음을 이르는 말은 무엇인가요?",,백발백중(百發百中),백전노장(百戰老將),백전백승(百戰百勝),승승장구(乘勝長驅),1,06,N,S
2,01,12,"가족들이 제제를 두고 한 말로, '도저히 돕거나 구하여 주는 것이 불가능한 사람. 또는 그런 상태'를 뜻하는 말은 무엇인가요?",,구사일생(九死一生),구제불능(救濟不能),전전긍긍(戰戰兢兢),오리무중(五里霧中),2,02,N,S
2,01,13,'값은 나중에 치르기로 하고 물건을 사거나 파는 일'을 뜻하는 단어는 무엇인가요?,,외박(外泊),외면(外面),외상(外上),외출(外出),3,06,N,S
2,01,14,"아리오발두가 제제에게 했던 말로, 두 사람이 같이 노래를 부르는 것을 뜻하는 단어는 무엇인가요?",,솔로,듀오,트리오,합주,2,06,N,S
2,01,15,"말을 빨리 달리게 하기 위해 발로 차는 행위에서 유래된 것으로, 일이 빨리 진행되도록 힘을 더한다는 뜻을 나타내는 말은 무엇인가요?",,박차를 가하다,안간힘을 쓰다,박진감 넘치다,긴장감이 넘치다,1,06,N,S
