번호,구분,결정 항목,선택지,상태,결정 내용,결정자,비고
1-1,결제 채널,프로그램비 결제 방식,앱에서 본사 이니시스 정기결제,확정,앱 정기결제,,
1-2,결제 채널,학원비 결제 채널,앱에서 결제 / 책방 자체 수납,미정,,,나머지 항목의 전제
1-3,결제 채널,학원비 앱 결제 시 빌키 구조,학원+본사 이니시스 빌키 2개(입력 UI 1개),확정,빌키 2개,,1-2가 '앱 결제'일 때만
2-1,카드 등록,빌키 발급 방식,입력화면 1개 → 2개 이니시스 각각 발급,확정,UI 1 / 발급 2,,
2-2,카드 등록,등록 후 책방 승인 단계,등록 즉시 활성 / 책방 승인 후 활성,미정,,,
2-3,카드 등록,첫 결제 시점,등록 즉시 1회 결제 후 정기결제일 반복,미정,,,확정 필요
2-4,카드 등록,회차 지급 시점,첫 결제 성공 시,미정,,,확정 필요
3-1,결제일,결제일 기준,개인별 등록일,미정,,,
3-2,결제일,학원비·프로그램비 결제일 정렬,같은 날 / 따로,미정,,,
3-3,결제일,월 중간 등록자 첫 결제 금액,일할 계산 / 첫 달 무료 / 한 달치 전액,미정,,,
3-4,결제일,결제일이 29~31일일 때,말일로 당김 등,미정,,,
4-1,회차,회차 지급 방식,결제 성공 시 주기분 일괄 지급,확정,일괄 지급,,
4-2,회차,회차 차감 시점,예약 시 / 입실 시,미정,,,
4-3,회차,미사용 회차 처리,주기 말 소멸(이월 없음),확정,소멸,,
5-1,결제 실패,재시도,재시도 없음,확정,재시도 없음,,
5-2,결제 실패,실패 시 처리,즉시 이용 정지(입실·책추천 불가),확정,즉시 정지,,
5-3,결제 실패,재이용 방법,재등록·재결제,확정,재등록·재결제,,
6-1,해지,신청 채널,앱 내 해지,미정,,,
6-2,해지,해지 시점,즉시 해지 / 이번 주기 말 종료,미정,,,
6-3,해지,잔여 회차,주기 말까지 사용 유지,미정,,,
6-4,해지,빌키 삭제 범위,학원·본사 둘 다 삭제,확정,둘 다 삭제,,
7-1,환불,처리 흐름,신청→승인→실행 / 신청→정책 자동적용→실행,미정,,,
7-2,환불,잔여 회차,즉시 회수,미정,,,
7-3,환불,학원비 환불 시 프로그램비 연동,연동 환불 / 개별,미정,,,
7-4,환불,기능 위치,관리자 웹 우선 / 앱 셀프는 추후,미정,,,
8-1,수기 결제,학원비 수기 결제 허용,허용 / 불가,미정,,,
8-2,수기 결제,프로그램비 수기 결제,불가(반드시 앱),확정,불가,,
9-1,알림,알림톡 도입 여부,도입 / 미도입,미정,,,결제 성공·실패 / 예정 / 해지 완료
